Registro,Nombre del Buque,Longitud del Buque (Eslora),Muelle Asignado,Retraso Estimado (Horas)
11168,MARUJITA (EX TXIRRIÑE),49.0,Marginal,272.45
11166,EL CONDE,33.33,Marginal,148.68
11158,DALMACIA C,35.23,Marginal,2216.38
11152,ALIZE,51.5,Marginal,222.53
11151,DANILO C / P-04-0604,28.5,Marginal,408.92
11149,DON MARIO,50.43,Marginal,675.0
11150,MARY LYNN,33.46,Marginal,97.26
11148,EILEEN MARIE,51.6,Marginal,150.82
11146,MEDJUGORJE / P-04-00006,60.28,Marginal,113.33
11145,TARQUI,42.63,Marginal,95.87
11147,FORTICA,33.28,Marginal,191.74
11144,ALDO,47.85,Marginal,78.26
11143,ANDREA,33.95,Marginal,3.56
11142,BETTY ELIZABETH,34.19,Marginal,264.41
11141,JOSELITO,32.56,Marginal,915.57
11140,SOUTHERN QUEEN,36.8,Marginal,100.26
11130,OCEAN LADY,37.34,Marginal,219.84
11129,CAP. DANNY B,34.98,Marginal,8.69
11127,CAP. TINO B,34.98,Marginal,482.91
11126,NORTH QUEEN,35.87,Marginal,222.93
11125,GINO D,53.45,Internacional,408.5
11124,EL CONDE,33.33,Fondeo no comercial,146.71
11128,DOÑA NANCY,35.94,Marginal,-0.47
11123,LUCY,42.63,Marginal,195.02
11122,MARY LYNN,33.46,Marginal,102.1
11121,DANILO C / P-04-0604,28.5,Marginal,274.51
11119,ALDO,47.85,Marginal,174.65
11120,CAP. DANNY B,34.98,Marginal,101.86
11118,ARIETE,46.0,Marginal,176.86
11114,SOUTHERN QUEEN,36.8,Marginal,101.2
11117,ISLAND PRIDE Nº1,27.28,Marginal,3.92
11116,GLORIA C,31.85,Marginal,76.04
11113,JOSELITO,32.56,Marginal,246.68
11111,EL CONDE,33.33,Marginal,124.86
11115,NUEVA ESPERANZA.,30.2,Marginal,-1.32
11112,DON ALVARO,37.55,Marginal,152.94
11101,ROMEO,24.08,Marginal,234.87
11100,ARIETE,46.0,Marginal,148.14
11099,ALIZE,51.5,Marginal,191.27
11098,MEDJUGORJE / P-04-00006,60.28,Marginal,154.07
11097,ALDO,47.85,Marginal,173.68
11096,NORTH QUEEN,35.87,Marginal,269.81
11095,DOÑA NANCY,35.94,Marginal,97.38
11092,CAP. DANNY B,34.98,Marginal,125.22
11093,CAP. TINO B,34.98,Marginal,173.27
11094,MONTECRISTI,39.94,Marginal,89.8
11091,ISLAND PRIDE Nº1,27.28,Marginal,-4.08
11090,OCEAN LADY,37.34,Marginal,268.9
11076,BETTY ELIZABETH,34.19,Marginal,140.66
11077,LUCY,42.63,Marginal,313.8
11075,ROMEO,24.08,Marginal,365.91
11073,GINO D,53.45,Marginal,196.38
11074,DIANA MARIA,36.66,Marginal,201.03
11072,NORTH QUEEN,35.87,Marginal,3.1
11071,GLORIA C,31.85,Marginal,484.51
11070,PATRICIA LYNN,32.9,Marginal,-0.48
11069,DON ALVARO,37.55,Marginal,126.38
11068,ALIZE,51.5,Marginal,292.0
11067,CHRISTEL I (EX TASA 311),36.44,Marginal,270.08
11066,MARY LYNN,33.46,Marginal,96.78
11065,JOSELITO,32.56,Marginal,190.6
11064,CAP. DANNY B,34.98,Marginal,99.1
11062,DIEGO ARMANDO,15.65,Marginal,1144.42
11063,DOÑA NANCY,35.94,Marginal,127.88
11061,ISLAND PRIDE Nº1,27.28,Marginal,502.83
11045,ALDO,47.85,Marginal,191.3
11043,NUEVA ESPERANZA.,30.2,Marginal,8.16
11042,NUEVA CADIZ,31.09,Fondeo no comercial,7.76
11041,PATILLO,31.13,Fondeo no comercial,7.74
11030,CAP. TINO B,34.98,Marginal,52.85
11036,MARY LYNN,33.46,Fondeo no comercial,26.6
11044,TOREADOR,199.99,Internacional,-4.33
11038,CHRISTEL I (EX TASA 311),36.44,Marginal,6.85
11037,ALDO,47.85,Marginal,31.38
11032,OCEAN LADY,37.34,Marginal,174.01
11028,L JUBICA,89.28,Internacional,33.57
11035,GLORIA C,31.85,Fondeo no comercial,27.22
11027,TUNAPESCA,60.44,Internacional,55.36
11026,CAP. BERNY B,65.1,Internacional,55.78
11033,DELIA,55.88,Marginal,80.85
11034,CONNIE JEAN TWO,45.75,Marginal,80.34
11029,FORTICA,33.28,Marginal,190.33
11024,SOUTHERN QUEEN,36.8,Marginal,172.91
11040,CLIPPER BETTINA,179.97,Internacional,115.1
11020,JOCAY,91.1,Internacional,64.92
11039,CONDOR TRADER,149.93,Internacional,33.21
11025,FARALLON,119.95,Fondeo no comercial,129.26
11021,GINO D,53.45,Marginal,48.8
11019,DOMINADOR I,46.88,Marginal,175.26
11014,NAZCA,74.25,Internacional,202.15
11022,ALEJANDRA,42.03,Marginal,35.65
11010,JORGE MARIO,56.2,Fondeo no comercial,200.73
11011,COSMOS,48.55,Marginal,131.33
11018,MORNING CONDUCTOR,199.97,Internacional,-1.84
11012,ALIZE,51.5,Marginal,139.2
11017,GLOVIS SIGMA,199.95,Internacional,-6.44
11008,DOÑA NANCY,35.94,Marginal,127.92
11009,MONTECRISTI,39.94,Marginal,126.76
11015,AUTO BANNER,199.53,Internacional,11.39
11007,PESCATUN I,58.0,Internacional,121.72
11013,TIUNA,61.96,Internacional,120.98
11006,JOSELITO,32.56,Marginal,115.67
11005,ISABELLA,62.4,Internacional,138.0
11004,ANTONIO H,39.53,Marginal,105.43
11003,DON MARIO,50.43,Marginal,248.17
11002,DIANA MARIA,36.66,Marginal,151.97
10997,MARY LYNN,33.46,Marginal,126.61
10998,DOÑA MARUJA,45.5,Marginal,102.38
10999,EL CONDE,33.33,Marginal,29.62
10991,EILEEN MARIE,51.6,Marginal,150.6
10996,GLORIA C,31.85,Marginal,257.68
10992,SOUTHERN QUEEN,36.8,Marginal,54.98
10993,MARIA ISABEL C,65.84,Internacional,340.33
10970,BAMBINO -EX MAURITANIA,42.5,Marginal,680.31
10971,TICA SUPPLY,21.2,Marginal,678.97
10972,FARALLON,119.95,Fondeo no comercial,472.47
10943,ALTAR 11,55.45,Fondeo no comercial,115.34
10914,ADRIANA,64.29,Internacional,11.08
10915,PS-1,56.8,Fondeo no comercial,174.38
10916,MARIA JOSE,60.04,Fondeo no comercial,80.4
10918,JULIE L.,77.0,Internacional,427.41
10919,BALBINA,30.17,Marginal,14.91
10909,DON RAMON,77.3,Fondeo no comercial,684.39
10968,FORTICA,33.28,Marginal,119.48
10954,DOÑA ROGE,56.97,Fondeo no comercial,68.88
10928,MARIA JOSE,60.04,Internacional,8.06
10937,DIVA MARIA,78.83,Internacional,8.92
10927,PS-1,56.8,Fondeo no comercial,33.12
10896,DOÑA NANCY,35.94,Marginal,123.85
10899,PATRICIA LYNN,32.9,Marginal,536.32
10911,SEVEN SEAS MARINER,217.0,Internacional,3.85
10938,ALTAR 11,55.45,Fondeo no comercial,55.06
10900,ALIZE,51.5,Marginal,46.67
10926,BALBINA,30.17,Fondeo no comercial,52.6
10956,VICTORIA DEL MAR,62.7,Internacional,126.75
10940,GIULIETTA,61.56,Internacional,79.66
10939,EILEEN MARIE,51.6,Marginal,105.09
10903,AMALIS,37.0,Fondeo no comercial,14.71
10952,TUNAPESCA,60.44,Internacional,149.25
10936,JULIE L.,77.0,Internacional,104.18
10907,MONTENEME,54.6,Internacional,66.35
10922,DALMACIA C,35.23,Internacional,112.77
10895,DIANA MARIA,36.66,Fondeo no comercial,5.18
10924,FERNANDITO,27.81,Fondeo no comercial,126.81
10925,DON RAMON,77.3,Fondeo no comercial,129.42
10905,NORTH QUEEN,35.87,Fondeo no comercial,46.64
10935,ADRIANA,64.29,Fondeo no comercial,153.11
10912,JORGE MARIO,56.2,Fondeo no comercial,113.07
10883,CAP. TINO B,34.98,Marginal,459.47
10893,SOUTHERN QUEEN,36.8,Marginal,4.92
10887,DANILO C / P-04-0604,28.5,Marginal,242.2
10892,TORONTO,199.99,Internacional,6.38
10882,ALDO,47.85,Marginal,247.53
10891,CRYSTAL SERENITY,250.0,Internacional,-1.41
10888,CIUDAD DE MACHALA,28.48,Marginal,4.69
10902,DON FRANCESCO,67.25,Fondeo no comercial,81.8
10879,DALMACIA C,35.23,Marginal,3774.0
10897,TARQUI,42.63,Fondeo no comercial,50.57
10886,AMALIS,37.0,Marginal,147.17
10859,NORTH QUEEN,35.87,Marginal,58.68
10885,SILVER SPIRIT,195.7,Internacional,-0.85
10864,CARMEN D,44.42,Marginal,138.91
10862,MARY LYNN,33.46,Fondeo no comercial,72.38
10953,TBC PRINCESS,176.48,Internacional,267.97
10865,MARUJITA (EX TXIRRIÑE),49.0,Marginal,98.59
10880,NORTH QUEEN,35.87,Marginal,39.67
10870,BLACK WATCH,205.46,Internacional,-0.15
10901,TIUNA,61.96,Internacional,149.87
10898,AURORA B,84.1,Internacional,141.04
10871,ARTANIA,230.62,Internacional,0.06
10861,DIANA MARIA,36.66,Fondeo no comercial,5.92
10889,BEN WYBIS,179.95,Internacional,130.69
10923,FARALLON,119.95,Fondeo no comercial,322.95
10904,TUNAMAR,76.75,Internacional,243.68
10852,MORNING CLAIRE,199.99,Internacional,13.39
10881,CARMEN D,44.42,Marginal,137.08
10857,CAP. DANNY B,34.98,Marginal,31.96
10844,JOSELITO,32.56,Marginal,149.37
10867,DON RAMON,77.3,Fondeo no comercial,66.96
10866,EMILIO,72.0,Fondeo no comercial,-6.65
10849,DOÑA MARUJA,45.5,Fondeo no comercial,-0.26
10932,DANIELITO,29.5,Fondeo no comercial,367.47
11023,DANIELITO,29.5,Marginal,1037.64
10921,FUJI,56.54,Internacional,356.9
10850,FARALLON,119.95,Fondeo no comercial,18.62
10872,ALESSIA,56.9,Fondeo no comercial,147.83
10873,ALINA,53.85,Fondeo no comercial,173.29
10884,ROSITA C,84.0,Internacional,209.63
10906,PS-1,56.8,Fondeo no comercial,353.3
10847,SHAMROCK MERCURY,145.53,Internacional,25.85
10846,KRISTIN KNUTSEN,148.43,Internacional,-0.25
10855,DOMINADOR I,46.88,Fondeo no comercial,0.99
10842,NORTH QUEEN,35.87,Fondeo no comercial,29.7
10894,YELISAVA,50.4,Marginal,310.71
10841,EL DORADO,41.76,Internacional,23.99
10811,PATRICIA LYNN,32.9,Marginal,75.41
10836,MARINA,239.3,Internacional,4.88
10718,GIULIETTA,61.56,Fondeo no comercial,144.46
10656,ALEJANDRA,42.03,Fondeo no comercial,9.32
10690,LUCY,42.63,Fondeo no comercial,32.64
10648,TORRENS,199.99,Internacional,6.17
10717,OCEAN LADY,37.34,Fondeo no comercial,31.13
10663,TUNA II,54.25,Fondeo no comercial,-10.96
10685,DANILO C / P-04-0604,28.5,Fondeo no comercial,56.32
10704,EILEEN MARIE,51.6,Marginal,163.68
10617,ALIZE,51.5,Marginal,500.52
10638,COLOSUS,33.3,Fondeo no comercial,56.09
10641,"ALTAR 6 /P-04-00827, ex Kyoshin Maru6",53.51,Fondeo no comercial,55.34
10635,NORTH QUEEN,35.87,Fondeo no comercial,80.91
10622,ALEJANDRA,42.03,Fondeo no comercial,19.2
10658,ISABELLA,62.4,Internacional,81.84
10688,GRENADIER.,65.85,Internacional,80.44
10612,TARQUI,42.63,Marginal,298.83
10626,DAIICHI MARU Nº 25,46.75,Fondeo no comercial,104.51
10606,JOSELITO,32.56,Marginal,187.23
10605,LUCIA T,52.52,Marginal,213.71
10621,ALDO,47.85,Fondeo no comercial,45.25
10694,ADRIANA,64.29,Internacional,218.18
10616,JOSELITO,32.56,Fondeo no comercial,21.35
10615,LUCIA T,52.52,Fondeo no comercial,15.62
10674,YELISAVA,50.4,Marginal,257.07
10607,ESTHERCHO,62.6,Internacional,28.35
10603,PATRICIA LYNN,32.9,Marginal,294.51
10693,VICTORIA DEL MAR,62.7,Fondeo no comercial,248.89
10767,DANIELITO,29.5,Marginal,197.82
10687,MEDJUGORJE / P-04-00006,60.28,Fondeo no comercial,200.86
10698,EL CONDE,33.33,Fondeo no comercial,198.28
10609,COLOSUS,33.3,Marginal,-4.81
10599,MONTENEME,54.6,Marginal,6932.72
10597,MARY LYNN,33.46,Marginal,306.37
10678,BETTY ELIZABETH,34.19,Fondeo no comercial,224.59
10620,TUNAPESCA,60.44,Internacional,153.24
10645,BALBINA,30.17,Fondeo no comercial,223.3
10614,FARALLON,119.95,Fondeo no comercial,-4.27
10596,CAP. DANNY B,34.98,Marginal,683.08
10623,ALIZE,51.5,Internacional,189.37
10619,LAUTARO,61.7,Internacional,174.78
10683,FORTICA,33.28,Fondeo no comercial,338.34
10598,CAP. DANNY B,34.98,Marginal,28.6
10625,ARIETE,46.0,Marginal,272.85
10672,CABO MARZO,68.83,Internacional,272.26
10604,MONTENEME,54.6,Internacional,65.33
10689,EL REY.,60.2,Internacional,272.53
10583,ALDO,47.85,Marginal,392.81
10591,EL CONDE,33.33,Marginal,745.32
10662,ROMEO,24.08,Fondeo no comercial,295.53
10590,CAP. TINO B,34.98,Marginal,790.64
10594,EL CONDE,33.33,Fondeo no comercial,4.3
10637,BERNARDITA B,34.98,Marginal,294.44
10633,THE KING,33.0,Fondeo no comercial,294.94
10584,MARIA FATIMA,32.4,Marginal,94.15
10610,PESCATUN I,58.0,Internacional,110.55
10669,FRIO CONFIDANZE,92.75,Internacional,297.99
10601,EASTERN PACIFIC,42.59,Fondeo no comercial,111.73
10593,MORNING LAURA,232.39,Internacional,13.85
10595,KAZDANGA,182.55,Internacional,33.09
10611,TXOPITUNA,77.3,Internacional,172.04
10681,CHARO,86.79,Internacional,344.44
10600,SEA TUNA I,64.7,Internacional,103.05
10592,ARABIAN SEA,182.8,Internacional,7.8
10581,SOUTHERN QUEEN,36.8,Marginal,896.87
10586,APOLLON LEADER,199.99,Internacional,1.69
10695,TUNAMAR,76.75,Internacional,476.42
10588,CELEBRITY INFINITY,294.0,Internacional,1.4
10580,ROMEO,24.08,Marginal,774.39
10649,ALESHKA,56.93,Fondeo no comercial,393.13
10705,TIGRE (REMOLCADOR),21.93,Marginal,5.26
10572,DIANA MARIA,36.66,Marginal,1041.2
10573,GLORIA C,31.85,Marginal,962.05
10577,VICENTE,107.5,Fondeo no comercial,1.39
10578,FARALLON,119.95,Fondeo no comercial,42.8
10467,DON MARIO,50.43,Marginal,1257.04
10553,MARUJITA (EX TXIRRIÑE),49.0,Internacional,175.96
10466,PATILLO,31.13,Marginal,4.76
10488,NORTH QUEEN,35.87,Marginal,32.85
10520,JOCAY,91.1,Internacional,35.38
10481,DOÑA MARUJA,45.5,Internacional,31.2
10460,FORTICA,33.28,Marginal,50.04
10522,JANE IV,78.5,Internacional,68.69
10475,LENTIKIA,179.99,Internacional,54.65
10453,DOÑA MARUJA,45.5,Fondeo no comercial,1208.13
10469,FORTICA,33.28,Marginal,40.01
10459,TOREADOR,199.99,Internacional,-3.91
10462,DOÑA MARUJA,45.5,Fondeo no comercial,-7.11
10447,MARY LYNN,33.46,Marginal,100.15
10508,SEA GEM,68.0,Internacional,105.87
10495,DANIELA,59.77,Internacional,104.79
10533,BALBINA,30.17,Marginal,101.25
10457,BALBINA,30.17,Fondeo no comercial,-5.95
10561,CABO MARZO,68.83,Internacional,295.53
10448,DOÑA NANCY,35.94,Marginal,182.36
10456,ISLAND PRIDE Nº1,27.28,Fondeo no comercial,18.74
10528,TUNAPESCA,60.44,Internacional,180.02
10455,ALBATROSS TRADER,145.53,Internacional,20.03
10563,CAP. BERNY B,65.1,Fondeo no comercial,321.32
10461,ALINA,53.85,Fondeo no comercial,53.2
10500,LA ROSA MISTICA,62.17,Internacional,128.74
10498,MIRELUR  NO USAR,69.02,Internacional,128.44
10474,EILEEN MARIE,51.6,Internacional,150.01
10562,UGAVI DOS,77.44,Internacional,344.19
10538,EL REY.,60.2,Internacional,214.3
10521,TUNAMAR,76.75,Internacional,153.09
10506,MARTA LUCIA R,78.33,Internacional,152.64
10470,VICTORIA DEL MAR,62.7,Internacional,129.35
10519,DON BARTOLO,50.04,Fondeo no comercial,177.2
10443,LUCY,42.63,Marginal,258.55
10473,ALTAR 21,48.0,Fondeo no comercial,173.15
10479,ROCIO,71.5,Internacional,163.5
10564,CARIBE TUNA,68.64,Internacional,368.52
10446,LUCY,42.63,Internacional,-1.8
10418,MARIA FATIMA,32.4,Marginal,124.55
10502,AMERICAN EAGLE,59.87,Internacional,201.66
10545,JULIE L.,77.0,Internacional,345.5
10499,LOS ROQUES,65.39,Internacional,201.43
10465,ENTERPRISE,61.21,Internacional,178.91
10510,NAZCA,74.25,Internacional,225.57
10419,CAP. TINO B,34.98,Marginal,74.78
10426,JOSELITO,32.56,Marginal,65.56
10411,GLORIA C,31.85,Marginal,52.65
10423,GINO D,53.45,Marginal,2114.38
10437,JOSELITO,32.56,Marginal,17.75
10476,ALIZE,51.5,Internacional,244.44
10449,ANTONIO H,39.53,Marginal,115.27
10425,EL DORADO,41.76,Marginal,1450.14
10430,EL DORADO,41.76,Marginal,21.59
10525,MARIA ISABEL C,65.84,Internacional,330.24
10429,FLORENTINO,107.5,Fondeo no comercial,43.01
10503,NUEVA ESPERANZA.,30.2,Marginal,294.1
10458,BETTY ELIZABETH,34.19,Marginal,184.27
10524,GREEN FREEZER,109.0,Internacional,337.01
10438,CAP. TINO B,34.98,Marginal,91.34
10450,LAUTARO,61.7,Internacional,164.91
10439,EL CONDE,33.33,Fondeo no comercial,97.11
10410,SOUTHERN QUEEN,36.8,Marginal,144.99
10420,SOUTHERN QUEEN,36.8,Marginal,3.7
10436,GLORIA C,31.85,Fondeo no comercial,87.51
10534,CHASCA,39.87,Marginal,318.11
10422,CHASCA,39.87,Fondeo no comercial,0.98
10435,NEPTUNE I / R-00-00462 (REMOLCADOR),30.48,Marginal,25.8
10532,TUNA I,45.1,Internacional,320.39
10442,MARIA FATIMA,32.4,Marginal,112.85
10444,JOCAY,91.1,Internacional,119.85
10464,AMANDA S,71.0,Internacional,242.53
10407,JOSELITO,32.56,Marginal,50.43
10415,MORNING CLARA,199.99,Internacional,10.95
10424,MONTENEME,54.6,Internacional,28.61
10409,DIANA MARIA,36.66,Marginal,198.56
10408,MONTECRISTI,39.94,Marginal,1581.82
10432,CABO DE HORNOS,55.0,Internacional,91.51
10497,COLOSUS,33.3,Fondeo no comercial,345.47
10501,TICA SUPPLY,21.2,Fondeo no comercial,345.01
10413,SUNSHINE ACE,199.95,Internacional,-3.22
10417,ROMEO,24.08,Fondeo no comercial,3.07
10535,KILLA,39.87,Fondeo no comercial,343.18
10412,DOMINADOR I,46.88,Internacional,12.83
10445,ROSITA C,84.0,Internacional,200.22
10391,ROMEO,24.08,Marginal,50.79
10440,CAP. DANNY B,34.98,Marginal,168.6
10387,EL CONDE,33.33,Marginal,76.37
10471,DOÑA TULA,48.0,Fondeo no comercial,378.05
10515,JO LINDA,40.17,Fondeo no comercial,392.09
10434,DAIICHI MARU Nº 25,46.75,Fondeo no comercial,175.98
10507,ORION S,92.23,Internacional,417.48
10382,ALDO,47.85,Marginal,173.82
10421,DON ALVARO,37.55,Fondeo no comercial,93.76
10536,SANSUN RANGER,65.14,Internacional,415.32
10518,GOLD TUNA,56.35,Internacional,415.18
10428,ALESHKA,56.93,Internacional,128.68
10369,ALESSIA,56.9,Fondeo no comercial,125.49
10356,DOÑA NANCY,35.94,Fondeo no comercial,8.47
10325,PATRICIA LYNN,32.9,Marginal,265.17
10390,SOHOH,120.75,Internacional,263.97
10326,ALIZE,51.5,Marginal,68.22
10332,BUNGA LOTUS,146.19,Internacional,18.37
10330,LESSOW SWAN,119.6,Internacional,11.22
10331,TORINO,199.99,Internacional,-5.69
10323,CAP. TINO B,34.98,Marginal,53.26
10335,SPAR HYDRA,189.99,Internacional,79.12
10327,DOÑA MARUJA,45.5,Internacional,52.51
10329,TIUNA,61.96,Fondeo no comercial,96.13
10318,MIRELUR  NO USAR,69.02,Fondeo no comercial,24.64
10320,NAVIG8 AQUAMARINE,184.06,Internacional,37.28
10296,LUCIA T,52.52,Marginal,218.94
10314,VALDIVIA B/T.,86.9,Fondeo no comercial,25.95
10317,FARALLON,119.95,Fondeo no comercial,50.35
10319,UGAVI / P-04-00700,81.0,Internacional,63.48
10300,ARIETE,46.0,Marginal,140.88
10313,ALEJANDRA,42.03,Fondeo no comercial,41.23
10304,CHRISTEL I (EX TASA 311),36.44,Marginal,72.69
10308,CHRISTEL I (EX TASA 311),36.44,Marginal,18.08
10309,FARALLON,119.95,Fondeo no comercial,18.28
10328,VICTORIA DEL MAR,62.7,Internacional,223.89
10298,DIANA MARIA,36.66,Marginal,103.84
10315,BOCHEM BRUSSELS,145.21,Internacional,67.03
10324,LIZI,67.29,Fondeo no comercial,173.37
10340,FORTICA,33.28,Fondeo no comercial,296.92
10295,THE KING,22.6,Marginal,3174.28
10312,MARUJITA (EX TXIRRIÑE),49.0,Fondeo no comercial,48.96
10321,BERNARDITA B,34.98,Marginal,161.05
10297,BETTY ELIZABETH,34.19,Fondeo no comercial,17.84
10293,BALBINA,30.17,Fondeo no comercial,-6.02
10292,MARUJITA (EX TXIRRIÑE),49.0,Internacional,8.9
10310,DON BARTOLO,50.04,Fondeo no comercial,81.26
10281,EL CONDE,33.33,Marginal,80.43
10307,ESTHERCHO,62.6,Internacional,84.33
10311,AURORA B,84.1,Internacional,119.34
10302,TXOPITUNA,77.3,Internacional,54.84
10316,MIRELUR  NO USAR,69.02,Internacional,171.49
10287,MARIA DEL CARMEN B/T.,81.2,Fondeo no comercial,3.22
10289,ZAANDAM,237.95,Internacional,0.43
10286,KRISTIN KNUTSEN,148.43,Internacional,24.39
10299,THE KING,33.0,Marginal,114.75
10291,ROMEO,24.08,Fondeo no comercial,75.57
10280,JOSELITO,32.56,Marginal,308.35
10306,CABO MARZO,68.83,Internacional,174.68
10284,ROCIO,71.5,Fondeo no comercial,34.45
10230,GOLD TUNA,56.35,Internacional,32.07
10226,TUNAMAR,76.75,Internacional,56.34
10223,VICENTE,107.5,Fondeo no comercial,59.18
10232,OCEAN LADY,37.34,Fondeo no comercial,55.74
10252,JOCAY,91.1,Internacional,135.35
10181,GINO D,53.45,Marginal,11.15
10231,CHIARA,61.56,Fondeo no comercial,81.73
10196,FARALLON,119.95,Fondeo no comercial,43.1
10176,JOSELITO,32.56,Marginal,104.54
10246,UGAVI DOS,77.44,Internacional,87.8
10175,DIANA MARIA,36.66,Marginal,150.51
10177,TORRENS,199.99,Internacional,2.27
10191,GLAFKOS,183.0,Internacional,52.47
10233,ISABELLA,62.4,Internacional,105.85
10178,DIANA MARIA,36.66,Marginal,3.34
10189,SEA TUNA I,64.7,Internacional,52.64
10190,JULIE L.,77.0,Internacional,48.07
10163,ROMEO,24.08,Marginal,410.33
10247,SALGIR,100.72,Internacional,153.82
10188,ESMERALDA C,78.75,Internacional,51.16
10238,DAIICHI MARU Nº 25,46.75,Fondeo no comercial,105.35
10169,PATRICIA LYNN,32.9,Marginal,161.78
10174,STRAITS VOYAGER,182.0,Internacional,1.4
10172,MILENKA C,46.0,Marginal,3.49
10239,FORTICA,33.28,Marginal,160.03
10210,EL REY.,60.2,Internacional,152.53
10171,TIGRE (REMOLCADOR),21.93,Marginal,-2.3
10168,BALBINA,30.17,Fondeo no comercial,-7.12
10161,DOÑA NANCY,35.94,Marginal,127.74
10154,CAP. DANNY B,34.98,Marginal,79.94
10158,CAP. TINO B,34.98,Marginal,32.74
10162,CAP. TINO B,34.98,Marginal,18.14
10160,TIGRE (REMOLCADOR),21.93,Marginal,2.86
10224,NUEVA ESPERANZA.,30.2,Marginal,222.52
10146,NUEVA ESPERANZA.,30.2,Marginal,2756.96
10157,ESMERALDA C,78.75,Internacional,2.93
10206,AMERICAN EAGLE,59.87,Internacional,224.23
10209,MARTA LUCIA R,78.33,Internacional,249.46
10216,MARTINA C,72.1,Fondeo no comercial,250.04
10222,ALESHKA,56.93,Internacional,248.71
10140,EL CONDE,33.33,Marginal,54.81
10184,DOÑA ROGE,56.97,Internacional,179.64
10153,ALEJANDRA,42.03,Fondeo no comercial,26.92
10159,MILENKA C,46.0,Fondeo no comercial,51.87
10182,ROSITA C,84.0,Internacional,191.77
10170,DIVA MARIA,78.83,Internacional,118.1
10164,JO LINDA,40.17,Marginal,77.97
10187,BP. ANDREA,78.8,Internacional,215.22
10137,GINO D,53.45,Marginal,195.28
10143,GLOVIS STELLA,199.97,Internacional,0.66
10149,TXOPITUNA DOS,77.3,Internacional,25.01
10165,DOÑA MARUJA,45.5,Fondeo no comercial,124.28
10142,MORNING CROWN,199.98,Internacional,-1.28
10179,VICENTE,107.5,Internacional,235.39
10134,CAP. TINO B,34.98,Marginal,123.97
10180,DON ANTONIO,38.91,Fondeo no comercial,244.92
10167,JANE IV,78.5,Internacional,152.41
10219,ISLAND PRIDE Nº1,27.28,Fondeo no comercial,366.06
10131,ISLAND PRIDE Nº1,27.28,Marginal,1724.37
10152,CHARO,86.79,Internacional,134.17
10141,CIELO DI CARTAGENA,179.99,Internacional,61.2
10128,DANILO C / P-04-0604,28.5,Marginal,265.97
10237,"ALTAR 6 /P-04-00827, ex Kyoshin Maru6",53.51,Fondeo no comercial,404.47
10156,FARALLON,119.95,Fondeo no comercial,193.65
10192,LUCY,42.63,Marginal,680.61
10063,NUEVA CADIZ,31.09,Marginal,9.53
10069,PATILLO,31.13,Marginal,8.75
10071,OCEAN LADY,37.34,Fondeo no comercial,7.4
10038,MILENKA C,46.0,Fondeo no comercial,-7.26
10083,FRIO CONFIDANZE,92.75,Fondeo no comercial,33.23
10039,REINA DE LA PAZ,91.0,Internacional,20.48
10106,LOS ROQUES,65.39,Internacional,160.47
10031,DOÑA NANCY,35.94,Marginal,55.6
10022,MARUJITA (EX TXIRRIÑE),49.0,Marginal,125.39
10097,MIRELUR  NO USAR,69.02,Internacional,162.22
10042,ALESSIA,56.9,Fondeo no comercial,80.53
10105,MEDJUGORJE / P-04-00006,60.28,Internacional,207.55
10056,MARIA ISABEL C,65.84,Internacional,104.84
10029,BETTY ELIZABETH,34.19,Fondeo no comercial,-5.81
10047,UGAVI DOS,77.44,Internacional,120.11
10087,TORINO,199.99,Internacional,129.1
10107,CAPE FERRAT,82.65,Internacional,261.52
10035,DOÑA NANCY,35.94,Fondeo no comercial,73.09
10028,FORTICA,33.28,Fondeo comercial,28.99
10027,CORSARIO I,33.62,Marginal,27.91
10016,SOUTHERN QUEEN,36.8,Marginal,174.28
10018,SERENITY ACE,199.98,Internacional,-0.71
10015,MARY LYNN,33.46,Marginal,867.86
10082,ORION S,92.23,Internacional,200.14
10044,BERNARDITA B,34.98,Marginal,198.79
10025,LA PEÑA,73.33,Internacional,64.79
10032,EL DORADO,41.76,Marginal,119.43
10023,FARALLON,119.95,Fondeo no comercial,91.8
9993,EASTERN PACIFIC,42.59,Marginal,30.21
10019,JOCAY,91.1,Internacional,77.58
10010,GRAND URANUS,232.39,Internacional,-4.15
10003,ROMEO,24.08,Marginal,100.03
10012,FARALLON,119.95,Fondeo no comercial,23.57
10089,VICENTE,107.5,Fondeo no comercial,273.98
10013,MESABI,127.2,Internacional,27.23
10026,GOLD TUNA,56.35,Internacional,169.6
10049,L JUBICA,89.28,Internacional,297.42
10002,DIANA MARIA,36.66,Marginal,246.64
9998,PATRICIA LYNN,32.9,Marginal,340.23
10021,ALESHKA,56.93,Internacional,150.11
10001,CORSARIO I,33.62,Marginal,2.94
10006,DANILO C / P-04-0604,28.5,Fondeo no comercial,-4.41
9991,DON MARIO,50.43,Marginal,270.64
10020,CARMEN D,44.42,Fondeo no comercial,136.48
10033,ROCIO,71.5,Internacional,222.45
9999,DON RAMON,77.3,Fondeo no comercial,1.56
10088,ENTERPRISE,61.21,Internacional,344.82
10011,DOÑA CHULE,51.65,Fondeo no comercial,99.59
10007,DON MARIO,50.43,Fondeo no comercial,42.08
10077,CURIMAGUA,78.14,Internacional,368.91
