Registro,Nombre del Buque,Longitud del Buque (Eslora),Muelle Asignado,Retraso Estimado (Horas)
29818,ALMIRANTE I,66.0,Fondeo no comercial,61.36
29816,GINO D,53.45,Fondeo no comercial,355.12
29817,BERNARDITA B,34.98,Marginal,269.75
29819,LOS ROQUES,65.39,Fondeo no comercial,510.43
29814,EL CONDE,33.33,Marginal,225.3
29815,SOUTHERN QUEEN,36.8,Fondeo no comercial,80.93
29810,PATRICIA LYNN,32.9,Marginal,196.1
29812,DOÑA NANCY,35.94,Marginal,291.04
29811,CARMEN D,44.42,Fondeo no comercial,316.87
29808,ADRIA DEL MAR,60.28,Internacional,721.41
29809,PS-1,56.8,Fondeo no comercial,27.51
29801,ESTHERCHO,51.6,Fondeo no comercial,474.37
29802,ALMIRANTE I,66.0,Fondeo no comercial,43.03
29805,DOÑA LUCIA,69.02,Fondeo no comercial,235.09
29803,MARIA FATIMA,32.4,Marginal,461.6
29806,L JUBICA,89.28,Fondeo no comercial,9.9
29804,OCEAN LADY,37.34,Fondeo no comercial,179.13
29800,PERLA DEL MAR,62.75,Fondeo no comercial,1.74
29807,MARIETA,50.17,Fondeo no comercial,293.67
29794,DIANA MARIA,36.66,Marginal,160.67
29792,ISABELLA,62.4,Fondeo no comercial,748.95
29798,CAP. DANNY B,34.98,Marginal,363.84
29788,RIA DE ALDAN,89.4,Fondeo no comercial,656.5
29785,PACIFIC TUNA,68.83,Fondeo no comercial,1182.44
29795,TUNAMAR,76.75,Fondeo no comercial,449.46
29797,PS-1,56.8,Fondeo no comercial,68.47
29793,DON ALVARO,39.74,Marginal,868.41
29789,LIZANNY Z,55.68,Fondeo no comercial,280.31
29791,SOUTHERN QUEEN,36.8,Marginal,187.88
29790,REINA DE LA PAZ,91.0,Fondeo no comercial,19.44
29787,TXOPITUNA DOS,67.44,Fondeo no comercial,87.86
29774,AURORA B,84.1,Fondeo no comercial,49.68
29786,DOÑA LUCIA,69.02,Fondeo no comercial,55.25
29777,DON ANTONIO,38.91,Marginal,312.2
29781,CAP. BERNY B,65.1,Internacional,167.61
29783,EL DORADO,41.76,Marginal,382.31
29782,JUAN PABLO II.,93.0,Fondeo no comercial,383.71
29764,JOSELITO,32.56,Fondeo no comercial,268.15
29780,NORTH QUEEN,35.87,Fondeo no comercial,436.02
29784,DIVA MARIA,78.83,Internacional,132.98
29775,DOÑA TULA,48.0,Fondeo no comercial,162.21
29778,SANSUN RANGER,65.14,Fondeo no comercial,630.02
29776,MONTECRISTI,50.25,Marginal,59.47
28743,MARIA DE GRACIA,36.58,Marginal,294.58
